Section,Parameter,Unit,Better,Weight,Chart,Key,Note,Sinobrook ETMSSAVA065015,Envicool EMW600HCNC3E,Supplier 3,Supplier 4
Info,Manufacturer,,none,0,no,,,Sinobrook New Energy (Shanghai),Shenzhen Envicool Technology,,
Info,Model,,none,0,no,,,ETMSSAVA065015,EMW600HCNC3E,,
Info,Source document,,none,0,no,,,"Tech spec V1.9, 11 May 2026","Datasheet, 20 Nov 2024",,
Info,Compressor type,,none,0,no,,,"Oil-free air-bearing centrifugal, up to 100000 rpm",Variable-speed (type not stated),,
Performance,Cooling capacity,kW,high,2,yes,cooling_capacity,Check rating ambient row,60,60,,
Performance,Cooling rating ambient,°C,none,0,no,rating_ambient,Ambient at which capacity/COP are quoted,45,35,,
Performance,Cooling input power,kW,low,1,yes,,Quoted at each supplier's rating ambient,30,27.8,,
Performance,Cooling COP,-,high,3,yes,,Not like-for-like if rating ambients differ,2.0,2.16,,
Performance,Heating capacity,kW,high,1,no,,@ 10 °C,24,24,,
Performance,Heating input power,kW,low,1,yes,,,28.5,24,,
Performance,Pump-only (self-circulation) power,kW,low,1,no,,,,0.74,,
Performance,Rated flow,L/min,high,1,no,,,500,500,,
Performance,Available pump head at rated flow,kPa,high,2,yes,,,180,150,,
Performance,Refrigerant circuits,qty,high,2,no,,2 = redundancy on fault,,2,,
Electrical,Rated voltage,V,none,0,no,,,480,480,,
Electrical,Supply frequency,Hz,none,0,no,,,50/60,60 ±3,,
Electrical,Max operating current,A,low,1,yes,,,55,54,,
Electrical,Max power consumption,kW,low,1,no,,,,30,,
Electrical,Communication,,none,0,no,,,RS485 Modbus RTU (CAN mentioned),RS485,,
Electrical,Dry contacts,,none,0,no,,,Fault output NO 24 VDC; on/off knob input,Not stated,,
Environment,Max working ambient,°C,high,3,yes,,,50,55,,
Environment,Min working ambient,°C,low,1,no,,,-30,-30,,
Environment,Max altitude,m,high,1,no,,,4000,4000,,
Environment,Derating start altitude,m,high,1,no,altitude_start,,2000,1000,,
Environment,Derating per 1000 m,%,low,0,no,altitude_rate,,5,5,,
Environment,Refrigerant,,none,0,no,,,R513A,R32,,
Environment,Refrigerant GWP,-,low,1,yes,,AR4 values,573,675,,
Environment,Refrigerant safety class,,none,0,no,,A2L = mildly flammable,A1,A2L,,
Environment,Noise,dB(A),low,1,no,,,80,80,,
Environment,Ingress protection,,none,0,no,,,"IPX5 unit, IP55 electrics",IPX5 outdoor side,,
Environment,Corrosion class,,none,0,no,,,C4H,,,
Mechanical,Width,mm,none,0,no,,,1200,1200,,
Mechanical,Depth,mm,none,0,no,,,440,440,,
Mechanical,Height,mm,none,0,no,,,2400,2400,,
Mechanical,Weight,kg,low,2,yes,,Envicool figure is without coolant,355,471,,
Mechanical,Coolant connection,,none,0,no,,,77.5 mm chuck,2.5in chuck ISO 2852 (77.5 mm),,
Mechanical,Condenser airflow,,none,0,no,,,"Side in, front out","Left/right/top/front in, front out",,
Lifetime,Design life,years,high,2,no,,,10,,,
Lifetime,Compressor start/stop cycles,cycles,high,1,no,,Sinobrook text also says 500000,150000,,,
Lifetime,Fan / pump design life,h,high,1,no,,,40000,,,
Compliance,Certifications,,none,0,no,,,ETL,"ETL, RoHS 2.0",,
Commercial,Unit price,USD,low,3,yes,,Fill from quotation,,,,
Commercial,Lead time,weeks,low,1,no,,Fill from quotation,,,,
Commercial,Warranty,years,high,2,no,,Fill from quotation,,,,
Open questions,Rating conditions,,none,0,no,,,Provide capacity and power at W18/L35,Provide capacity and power at W18/L45,,
Open questions,Heating input,,none,0,no,,,Why is heating input 28.5 kW for 24 kW output?,,,
Open questions,Start/stop life,,none,0,no,,,150000 vs 500000 cycles - which is warranted?,,,
Open questions,Redundancy,,none,0,no,,,One or two compressors? Behaviour on compressor fault?,,,
Open questions,Flammable refrigerant,,none,0,no,,,,R32 charge limits and leak detection per UL 60335-2-40,,
Open questions,Missing lifetime data,,none,0,no,,,,"Provide design life, fan/pump hours, corrosion class",,
Open questions,50 Hz availability,,none,0,no,,,,Is a 50 Hz variant available?,,
Open questions,Field track record,,none,0,no,,,Field references and MTBF for centrifugal compressor,,,
